gene	tier	drug	drug_id	approved	score	interaction_type	directionality	n_sources	n_publications	sources
TTK	2	RO3280	iuphar.ligand:9403	False	0.7057598599104363	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	CDK1 INHIBITOR	iuphar.ligand:5944	False	0.6014998806054855	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	PROTUBOXEPIN A	chembl:CHEMBL1802135	False	0.6014998806054855			1	1	DTC
TTK	2	BOS172722	drugbank:DB15498	False	0.5881332165920303	inhibitor	INHIBITORY	1	0	GuideToPharmacology
AURKB	2	AMG-900	iuphar.ligand:8060	False	0.5816702142118981	inhibitor,inhibitor	INHIBITORY,INHIBITORY	5	0	ChEMBL;ClearityFoundationClinicalTrial;GuideToPharmacology;MyCancerGenome;TALC
AURKB	2	NERVIANO	chembl:CHEMBL1172241	False	0.5816702142118981			1	1	DTC
AURKB	2	PF-03814735	drugbank:DB13059	False	0.5816702142118981	inhibitor	INHIBITORY	2	0	MyCancerGenome;TALC
AURKB	2	SNS-314	drugbank:DB06134	False	0.5816702142118981	inhibitor	INHIBITORY	3	0	MyCancerGenome;TTD;TdgClinicalTrial
AURKB	2	TAK-901	chembl:CHEMBL3544932	False	0.5816702142118981	inhibitor	INHIBITORY	1	0	ChEMBL
AURKB	2	TAK-901	drugbank:DB12756	False	0.5816702142118981			1	0	TTD
PLK1	2	GSK-461364A	iuphar.ligand:5684	False	0.5571788367713971	inhibitor,inhibitor	INHIBITORY,INHIBITORY	2	0	ChEMBL;GuideToPharmacology
PLK1	2	NMS-1286937	chembl:CHEMBL1094408	False	0.5571788367713971	inhibitor	INHIBITORY	2	0	MyCancerGenome;TTD
PLK1	2	TAK-960	chembl:CHEMBL2392545	False	0.5571788367713971	inhibitor	INHIBITORY	2	0	ChEMBL;TTD
AURKB	2	DANUSERTIB	ncit:C61587	False	0.4847251785099151	inhibitor,inhibitor	INHIBITORY,INHIBITORY	5	0	ChEMBL;GuideToPharmacology;MyCancerGenome;TALC;TTD
CDK1	2	DINACICLIB	ncit:C78854	False	0.4511249104541141	inhibitor,inhibitor	INHIBITORY,INHIBITORY	6	0	CancerCommons;ChEMBL;ClearityFoundationClinicalTrial;GuideToPharmacology;MyCancerGenome;MyCancerGenomeClinicalTrial
AURKB	2	CYC116	drugbank:DB05198	False	0.4362526606589235	inhibitor	INHIBITORY	3	0	TALC;TTD;TdgClinicalTrial
AURKB	2	BARASERTIB	ncit:C62502	False	0.4230328830631986	inhibitor,inhibitor	INHIBITORY,INHIBITORY	6	2	CIViC;ChEMBL;DTC;GuideToPharmacology;MyCancerGenome;TALC
PLK1	2	POLO-LIKE KINASE 1 INHIBITOR GSK461364	ncit:C70948	False	0.4178841275785478	inhibitor	INHIBITORY	3	0	MyCancerGenome;TALC;TTD
CDK1	2	RIVICICLIB	ncit:C64762	False	0.400999920403657	inhibitor	INHIBITORY	2	0	GuideToPharmacology;TTD
TTK	2	COMPOUND 20 [PMID: 30998356]	iuphar.ligand:10371	False	0.3920888110613535	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CCNB1	2	KENPAULLONE	iuphar.ligand:6000	False	0.3754041808034236			1	0	TTD
PLK1	2	BI-2536	iuphar.ligand:5666	False	0.3343073020628382	inhibitor,inhibitor	INHIBITORY,INHIBITORY	5	1	ChEMBL;DTC;GuideToPharmacology;MyCancerGenome;TALC
CDK1	2	(2R)-2-({9-(1-METHYLETHYL)-6-[(4-PYRIDIN-2-YLBENZYL)AMINO]-9H-PURIN-2-YL}AMINO)BUTAN-1-OL	drugbank:DB08463	False	0.3007499403027427	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	2-({6-[(3-CHLOROPHENYL)AMINO]-9-ISOPROPYL-9H-PURIN-2-YL}AMINO)ETHANOL	drugbank:DB08325	False	0.3007499403027427	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	6-BROMOINDIRUBIN-3'-OXIME	drugbank:DB03444	False	0.3007499403027427	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	ALSTERPAULLONE 2-CYANOETHYL	iuphar.ligand:5926	False	0.3007499403027427	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	BMS-265246	iuphar.ligand:8051	False	0.3007499403027427	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	BOHEMINE	iuphar.ligand:5938	False	0.3007499403027427	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CDK1	2	CDK2 INHIBITOR III	iuphar.ligand:5948	False	0.3007499403027427	inhibitor	INHIBITORY	1	0	GuideToPharmacology
